count_id;track_id;class;speed_kmh;accel_avg_mps2;vel_1_mps;vel_2_mps;vsp_kw_ton;vkt_km;tier1_co2_g;diff_co2_pct;e2_co2_g;e2_nox_g;e2_fuel_g;e2_hc_g;e2_co_g;e2_pm25_g;e5_co2_g;e5_nox_g;e5_fuel_g;e5_hc_g;e5_co_g;e5_pm25_g
1077;4836;SUV;53.9;-0.796;0.0;0.0;3.8;0.1;21.5;-33.4;14.32;0.013;4.55;0.0071;0.0318;0.00158;12.89;0.0086;4.1;0.0045;0.0206;0.00016
1078;4820;PC;44.4;0.271;0.0;0.0;4.74;0.1;17.0;-3.5;16.41;0.0089;5.37;0.0054;0.0395;4,00E-05;14.77;0.0036;4.84;0.0027;0.0237;0.0
1079;4815;PC;52.5;-0.036;0.0;0.0;2.59;0.1;17.0;-61.2;6.59;0.0035;2.16;0.0022;0.0161;4,00E-05;5.93;0.0014;1.94;0.0011;0.0097;0.0
1080;4872;LCV;118.6;0.253;0.0;0.0;11.03;0.1;26.8;91.9;51.44;0.0285;16.76;0.0178;0.1242;0.00069;46.29;0.0125;15.08;0.0094;0.0759;7,00E-05
1081;4833;PC;51.7;-0.437;0.0;0.0;1.5;0.1;17.0;-60.9;6.65;0.0025;2.18;0.0027;0.0186;0.00025;5.99;0.001;1.96;0.0013;0.0112;3,00E-05
1082;4816;PC;44.9;0.039;0.0;0.0;4.01;0.1;17.0;-14.1;14.6;0.0074;4.78;0.005;0.0363;0.00015;13.14;0.003;4.3;0.0025;0.0218;1,00E-05
1083;4822;SUV;60.8;-0.228;0.0;0.0;3.51;0.1;21.5;-51.5;10.42;0.0054;3.41;0.0038;0.0269;0.00014;9.38;0.0022;3.07;0.0019;0.0161;1,00E-05
1084;4835;PC;46.0;-0.439;0.0;0.0;1.01;0.1;17.0;-72.1;4.75;0.0018;1.55;0.0019;0.0133;0.00018;4.27;0.0007;1.4;0.001;0.008;2,00E-05
1085;4838;PC;55.0;-0.046;0.0;0.0;3.18;0.1;17.0;-49.1;8.65;0.0044;2.83;0.003;0.0215;8,00E-05;7.78;0.0018;2.55;0.0015;0.0129;1,00E-05
1086;4845;SUV;59.4;-0.162;0.0;0.0;3.87;0.1;21.5;-46.1;11.59;0.0064;3.79;0.0043;0.0296;0.00022;10.43;0.0027;3.41;0.0022;0.0178;2,00E-05
1087;4869;PC;57.7;0.271;0.0;0.0;6.54;0.1;17.0;7.8;18.33;0.0099;6.0;0.0061;0.0443;7,00E-05;16.49;0.004;5.4;0.003;0.0266;1,00E-05
1088;4861;PC;41.8;0.105;0.0;0.0;3.18;0.1;17.0;-2.1;16.64;0.0175;5.24;0.0083;0.0329;0.00207;14.97;0.012;4.72;0.0056;0.022;0.00021
1089;4855;LCV;43.6;-0.034;0.0;0.0;6.59;0.1;26.8;-7.7;24.73;0.0269;7.79;0.0126;0.0479;0.00323;22.26;0.0186;7.01;0.0084;0.0322;0.00032
1090;4867;PC;60.1;-0.184;0.0;0.0;2.49;0.1;17.0;-51.6;8.23;0.0039;2.69;0.003;0.0216;0.00016;7.4;0.0016;2.42;0.0015;0.013;2,00E-05
1091;4848;PC;46.7;-0.107;0.0;0.0;2.05;0.1;17.0;-55.4;7.58;0.0033;2.48;0.0029;0.0202;0.0002;6.82;0.0013;2.23;0.0014;0.0121;2,00E-05
1092;4862;PC;46.2;-0.299;0.0;0.0;2.17;0.1;17.0;-42.6;9.75;0.0043;3.19;0.0036;0.0257;0.00023;8.78;0.0017;2.87;0.0018;0.0154;2,00E-05
1093;4888;PC;54.5;0.146;0.0;0.0;5.29;0.1;17.0;-22.2;13.23;0.0072;4.33;0.0043;0.0318;4,00E-05;11.91;0.0029;3.9;0.0022;0.0191;0.0
1094;4899;LCV;45.3;0.25;0.0;0.0;5.24;0.1;26.8;-19.8;21.5;0.0286;6.7;0.012;0.036;0.00358;19.35;0.0206;6.03;0.0084;0.0252;0.00036
1095;4897;PC;74.2;0.269;0.0;0.0;9.95;0.1;17.0;22.9;20.9;0.0113;6.84;0.0069;0.0505;7,00E-05;18.81;0.0045;6.16;0.0035;0.0303;1,00E-05
1096;4871;PC;94.4;-0.315;0.0;0.0;8.91;0.1;17.0;40.4;23.87;0.012;7.82;0.0082;0.0596;0.00026;21.48;0.0048;7.03;0.0041;0.0358;3,00E-05
1097;4881;SUV;53.2;0.013;0.0;0.0;4.65;0.1;21.5;-40.2;12.86;0.0069;4.21;0.0045;0.0322;0.0001;11.58;0.0028;3.79;0.0022;0.0193;1,00E-05
1098;4892;SUV;41.0;-0.297;0.0;0.0;2.19;0.1;21.5;-49.7;10.82;0.0048;3.54;0.0041;0.0291;0.00028;9.74;0.0019;3.19;0.0021;0.0175;3,00E-05
