frame,track_id,class,method,speed_kmh,accel_mps2,x_px,y_px
162,48,PC,homography,69.16,-0.262,1259,589
162,33,LCV,homography,125.06,1.05,1160,602
163,14,PC,homography,75.85,-0.125,907,798
163,40,PC,homography,45.54,-1.5,1186,677
163,48,PC,homography,69.65,-0.218,1258,591
164,14,PC,homography,76.16,-0.108,899,805
164,40,PC,homography,46.83,-1.5,1183,680
164,48,PC,homography,70.26,-0.166,1255,593
164,33,LCV,homography,126.1,1.05,1155,607
165,14,PC,homography,76.68,-0.083,891,812
165,40,PC,homography,47.95,-1.5,1179,683
165,48,PC,homography,71.26,-0.09,1253,595
165,33,LCV,homography,126.39,1.05,1152,609
166,14,PC,homography,76.56,-0.087,888,815
166,40,PC,homography,48.05,-1.5,1178,684
166,48,PC,homography,71.25,-0.088,1252,596
166,33,LCV,homography,124.8,1.05,1152,610
167,14,PC,homography,76.4,-0.093,881,820
167,40,PC,homography,48.18,-1.5,1176,687
167,48,PC,homography,71.21,-0.088,1251,597
168,14,PC,homography,76.33,-0.094,873,826
168,40,PC,homography,48.56,-1.5,1172,691
168,48,PC,homography,71.23,-0.084,1249,599
168,33,MBT,homography,124.94,1.05,1147,615
169,14,PC,homography,76.5,-0.085,865,834
169,40,PC,homography,49.19,-1.5,1169,695
169,48,PC,homography,71.02,-0.096,1248,601
169,33,MBT,homography,124.99,1.05,1145,618
170,14,PC,homography,76.85,-0.068,855,841
170,40,PC,homography,50.22,-1.5,1165,699
170,48,PC,homography,70.98,-0.096,1246,603
170,33,LCV,homography,124.64,1.05,1142,621
171,14,PC,homography,77.29,-0.047,846,849
171,40,PC,homography,51.18,-1.5,1162,703
171,48,PC,homography,71.5,-0.06,1243,605
171,33,LCV,homography,124.31,1.05,1140,624
172,14,PC,homography,77.07,-0.056,843,852
172,40,PC,homography,51.22,-1.5,1160,704
172,48,PC,homography,71.21,-0.077,1243,606
172,33,LCV,homography,122.57,1.05,1139,625
173,14,PC,homography,76.77,-0.068,835,858
173,40,PC,homography,51.3,-1.5,1158,707
173,48,PC,homography,70.72,-0.106,1241,607
173,33,MBT,homography,120.59,1.05,1137,627
174,14,PC,homography,76.76,-0.067,826,866
174,40,PC,homography,51.53,-1.5,1154,711
174,48,PC,homography,70.34,-0.127,1240,609
174,33,MBT,homography,118.89,0.938,1135,630
175,14,SUV,homography,77.03,-0.054,816,875
175,40,PC,homography,51.92,-1.5,1150,715
175,48,PC,homography,70.65,-0.105,1238,612
175,33,MBT,homography,117.49,0.824,1132,633
176,14,PC,homography,77.36,-0.039,805,883
176,40,PC,homography,52.73,-1.5,1146,720
176,48,PC,homography,71.13,-0.073,1236,614
176,33,LCV,homography,116.37,0.732,1129,637
177,14,PC,homography,77.87,-0.015,794,893
177,40,PC,homography,53.85,-1.5,1142,725
177,48,PC,homography,71.47,-0.051,1234,616
177,33,LCV,homography,115.46,0.657,1126,640
178,14,PC,homography,77.74,-0.021,790,896
178,40,PC,homography,54.18,-1.5,1140,727
178,48,PC,homography,70.93,-0.082,1233,617
178,33,LCV,homography,113.5,0.52,1125,641
179,14,PC,homography,77.57,-0.028,781,904
179,40,PC,homography,54.33,-1.5,1137,730
179,48,PC,homography,70.37,-0.113,1232,618
179,33,LCV,homography,111.49,0.386,1123,644
180,14,PC,homography,77.6,-0.026,771,913
180,40,PC,homography,54.5,-1.5,1133,734
180,48,PC,homography,70.28,-0.115,1230,621
180,33,LCV,homography,109.64,0.266,1120,646
181,14,PC,homography,77.77,-0.018,759,923
181,40,PC,homography,54.83,-1.5,1129,738
181,48,PC,homography,70.47,-0.102,1228,623
181,33,LCV,homography,108.45,0.19,1118,650
182,14,PC,homography,78.16,-0.0,747,934
182,40,PC,homography,55.39,-1.5,1124,743
182,48,PC,homography,70.89,-0.076,1226,626
182,33,LCV,homography,107.45,0.126,1115,654
183,14,PC,homography,78.71,0.024,733,946
183,40,PC,homography,56.13,-1.5,1120,748
183,48,PC,homography,71.22,-0.056,1223,628
183,33,LCV,homography,106.71,0.081,1112,658
184,14,PC,homography,78.61,0.02,728,950
184,40,PC,homography,56.15,-1.5,1118,750
184,48,PC,homography,70.74,-0.081,1223,629
184,33,LCV,homography,105.05,-0.016,1110,659
185,14,SUV,homography,78.48,0.013,718,959
185,48,PC,homography,70.19,-0.109,1221,630
185,33,LCV,homography,103.21,-0.119,1107,661
186,14,SUV,homography,78.53,0.015,705,970
186,48,PC,homography,69.76,-0.13,1218,632
186,33,LCV,homography,101.85,-0.193,1104,665
186,64,PC,homography,0.0,0.0,706,970
186,40,PC,homography,57.39,-1.5,1110,759
187,14,SUV,homography,78.77,0.026,691,983
187,48,PC,homography,70.0,-0.115,1216,636
187,33,LCV,homography,100.94,-0.239,1101,669
187,64,PC,homography,10.34,0.043,693,981
187,40,PC,homography,58.51,-1.5,1106,764
188,14,SUV,homography,79.15,0.042,676,995
188,48,PC,homography,70.58,-0.081,1214,639
188,33,LCV,homography,100.41,-0.262,1098,673
188,64,PC,homography,32.45,0.181,677,995
188,40,PC,homography,59.78,-1.5,1101,770
189,14,SUV,homography,79.75,0.068,661,1010
189,48,PC,homography,71.13,-0.05,1211,641
189,33,LCV,homography,100.07,-0.275,1095,677
189,64,PC,homography,55.59,0.39,660,1010
189,40,PC,homography,61.02,-1.5,1096,776
190,14,SUV,homography,79.7,0.065,655,1015
190,48,PC,homography,70.89,-0.062,1210,642
190,33,LCV,homography,98.84,-0.335,1094,679
190,64,PC,homography,61.81,0.47,655,1014
